Transaction_ID,Transaction_Amount,Is_Fraudulent_Predicted,Timestamp,Location,Transaction_Type
1,18643,1,29-01-2025,Hyderabad,Debit
2,2517,1,21-02-2025,Ahmedabad,IMPS
3,3872,1,03-03-2025,Hyderabad,IMPS
4,14769,1,05-01-2025,Delhi,IMPS
5,2971,1,08-03-2025,Pune,UPI
6,7748,1,13-02-2025,Mumbai,UPI
7,19309,1,24-01-2025,Chennai,IMPS
8,19868,1,14-01-2025,Jaipur,IMPS
9,18111,1,06-01-2025,Pune,Credit
10,18056,1,21-01-2025,Ahmedabad,Debit
11,16086,1,07-03-2025,Jaipur,Debit
12,14660,1,21-02-2025,Hyderabad,Credit
13,678,1,12-02-2025,Lucknow,Debit
14,4184,1,26-02-2025,Pune,Credit
15,13891,1,12-01-2025,Ahmedabad,Debit
16,7456,1,18-02-2025,Chennai,UPI
17,3136,1,10-02-2025,Mumbai,UPI
18,3483,1,25-02-2025,Bangalore,Credit
19,12592,1,19-01-2025,Kolkata,Debit
20,14449,1,07-02-2025,Chennai,UPI
21,10012,1,03-02-2025,Jaipur,IMPS
22,5002,1,29-01-2025,Bangalore,IMPS
23,12644,1,02-03-2025,Hyderabad,UPI
24,18727,1,22-02-2025,Bangalore,IMPS
25,12082,1,01-03-2025,Jaipur,Credit
26,2687,1,20-01-2025,Mumbai,Credit
27,18966,1,10-03-2025,Lucknow,UPI
28,15967,1,28-01-2025,Chennai,IMPS
29,6527,1,04-03-2025,Bangalore,Debit
30,12935,1,27-01-2025,Lucknow,Credit
31,16823,1,06-03-2025,Kolkata,Debit
32,2924,1,05-01-2025,Kolkata,Credit
33,18396,1,31-01-2025,Hyderabad,IMPS
34,6517,1,03-03-2025,Lucknow,Credit
35,6205,1,01-02-2025,Pune,UPI
36,11208,1,07-01-2025,Bangalore,IMPS
37,9618,1,05-03-2025,Lucknow,UPI
38,12059,1,08-03-2025,Jaipur,Credit
39,8519,1,06-03-2025,Bangalore,Credit
40,3661,1,11-03-2025,Hyderabad,Debit
41,14792,1,17-01-2025,Mumbai,Credit
42,1812,1,31-01-2025,Bangalore,Debit
43,4583,1,09-03-2025,Kolkata,IMPS
44,7396,1,24-01-2025,Chennai,IMPS
45,14060,1,14-01-2025,Bangalore,Credit
46,11197,1,20-01-2025,Delhi,IMPS
47,17255,1,23-02-2025,Jaipur,Debit
48,9424,1,10-02-2025,Delhi,Debit
49,13028,1,08-03-2025,Mumbai,Credit
50,16632,1,22-02-2025,Kolkata,Credit
51,12891,1,13-01-2025,Ahmedabad,Debit
52,5685,1,25-02-2025,Jaipur,Credit
53,18625,1,10-01-2025,Kolkata,IMPS
54,8542,1,26-01-2025,Ahmedabad,IMPS
55,14763,1,16-01-2025,Pune,IMPS
56,11216,1,04-03-2025,Mumbai,Debit
57,1550,1,24-01-2025,Kolkata,IMPS
58,15264,1,19-02-2025,Kolkata,IMPS
59,1385,1,27-01-2025,Lucknow,IMPS
60,6293,1,31-01-2025,Ahmedabad,IMPS
61,4150,1,05-02-2025,Jaipur,UPI
62,1360,1,05-01-2025,Kolkata,IMPS
63,1431,1,16-01-2025,Mumbai,Debit
64,2956,1,22-01-2025,Chennai,IMPS
65,754,1,28-01-2025,Ahmedabad,Credit
66,17432,1,24-01-2025,Lucknow,Credit
67,5061,1,22-02-2025,Lucknow,IMPS
68,3655,1,06-02-2025,Pune,Credit
69,5981,1,04-03-2025,Kolkata,Credit
70,8635,1,15-01-2025,Lucknow,Credit
71,1772,0,15-02-2025,Pune,UPI
72,17998,0,27-01-2025,Chennai,Debit
73,5318,0,04-02-2025,Hyderabad,IMPS
74,5095,0,23-01-2025,Kolkata,IMPS
75,8378,0,10-01-2025,Delhi,UPI
76,8001,0,21-01-2025,Delhi,Debit
77,10662,0,27-02-2025,Ahmedabad,UPI
78,19888,0,01-01-2025,Kolkata,Debit
79,16539,0,15-02-2025,Jaipur,IMPS
80,7742,0,18-01-2025,Hyderabad,IMPS
81,17753,0,20-02-2025,Hyderabad,IMPS
82,4723,0,28-01-2025,Kolkata,Debit
83,3248,0,01-01-2025,Delhi,Credit
84,19050,0,13-02-2025,Pune,IMPS
85,10598,0,09-01-2025,Ahmedabad,Debit
86,18263,0,02-01-2025,Kolkata,IMPS
87,6747,0,04-03-2025,Pune,Credit
88,10687,0,18-02-2025,Mumbai,UPI
89,19295,0,07-02-2025,Jaipur,IMPS
90,1392,0,11-03-2025,Ahmedabad,IMPS
91,5735,0,27-01-2025,Kolkata,UPI
92,5493,0,31-01-2025,Pune,IMPS
93,8092,0,03-03-2025,Pune,Debit
94,7554,0,02-03-2025,Chennai,Credit
95,18218,0,10-01-2025,Mumbai,IMPS
96,11065,0,06-02-2025,Delhi,Debit
97,19865,0,19-02-2025,Ahmedabad,IMPS
98,15477,0,05-03-2025,Hyderabad,Debit
99,14362,0,20-01-2025,Mumbai,UPI
100,1363,0,31-01-2025,Bangalore,UPI
101,13472,0,08-01-2025,Kolkata,UPI
102,9460,0,01-02-2025,Hyderabad,UPI
103,16657,0,04-01-2025,Hyderabad,Credit
104,11254,0,02-03-2025,Jaipur,UPI
105,17372,0,06-02-2025,Lucknow,UPI
106,9266,0,13-01-2025,Kolkata,IMPS
107,13566,0,26-02-2025,Delhi,IMPS
108,15576,0,07-02-2025,Lucknow,UPI
109,13085,0,01-02-2025,Kolkata,Debit
110,1960,0,25-02-2025,Mumbai,Credit
111,17330,0,25-01-2025,Jaipur,UPI
112,6192,0,21-02-2025,Mumbai,IMPS
113,4816,0,08-02-2025,Mumbai,Credit
114,1359,0,05-01-2025,Delhi,IMPS
115,19984,0,24-01-2025,Mumbai,Credit
116,6178,0,27-01-2025,Kolkata,Debit
117,18949,0,14-01-2025,Jaipur,Credit
118,15837,0,18-01-2025,Bangalore,UPI
119,10430,0,24-01-2025,Jaipur,IMPS
120,14767,0,16-02-2025,Jaipur,IMPS
121,9564,0,18-02-2025,Mumbai,UPI
122,15211,0,17-01-2025,Delhi,Debit
123,18956,0,07-03-2025,Kolkata,IMPS
124,526,0,01-03-2025,Hyderabad,IMPS
125,14078,0,27-02-2025,Pune,Debit
126,18137,0,18-02-2025,Bangalore,IMPS
127,10797,0,06-02-2025,Hyderabad,UPI
128,17104,0,25-01-2025,Mumbai,Debit
129,13571,0,04-01-2025,Lucknow,IMPS
130,16079,0,22-01-2025,Bangalore,IMPS
131,10506,0,05-01-2025,Delhi,Debit
132,13496,0,04-03-2025,Ahmedabad,UPI
133,5432,0,11-01-2025,Mumbai,UPI
134,10233,0,21-02-2025,Chennai,Credit
